,price,bathrooms,sqft_living,sqft_lot,floors,waterfront,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,month,yrs_since_reno,bed_bath_ratio,bedrooms_5plus,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_13,view_1_2,view_3,view_4,condition_3_4,condition_5,city,city_Bellevue,city_Black_Diamond,city_Bothell,city_Carnation,city_Duvall,city_Enumclaw,city_Fall_City,city_Federal_Way,city_Issaquah,city_Kenmore,city_Kent,city_Kirkland,city_Maple_Valley,city_Medina,city_Mercer_Island,city_North_Bend,city_Redmond,city_Renton,city_Sammamish,city_Seattle,city_Snoqualmie,city_Vashon,city_Woodinville
0,221900.0,1.0,1180,5650,1.0,0.0,1955,98178,47.5112,-122.257,1340,5650,10,2014,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Seattle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,538000.0,2.25,2570,7242,2.0,0.0,1951,98125,47.721,-122.319,1690,7639,12,23,1.3333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Seattle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,180000.0,1.0,770,10000,1.0,0.0,1933,98028,47.7379,-122.233,2720,8062,2,2015,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Kenmore,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,604000.0,3.0,1960,5000,1.0,0.0,1965,98136,47.5208,-122.393,1360,5000,12,2014,1.3333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Seattle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,510000.0,2.0,1680,8080,1.0,0.0,1987,98074,47.6168,-122.045,1800,7503,2,2015,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Sammamish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,1230000.0,4.5,5420,101930,1.0,0.0,2001,98053,47.6561,-122.005,4760,101930,5,2014,0.8888888888888888,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Redmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,257500.0,2.25,1715,6819,2.0,0.0,1995,98003,47.3097,-122.327,2238,6819,6,2014,1.3333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Federal Way,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,291850.0,1.5,1060,9711,1.0,0.0,1963,98198,47.4095,-122.315,1650,9711,1,2015,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Seattle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,229500.0,1.0,1780,7470,1.0,0.0,1960,98146,47.5123,-122.337,1780,8113,4,2015,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Seattle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,323000.0,2.5,1890,6560,2.0,0.0,2003,98038,47.3684,-122.031,2390,7570,3,2015,1.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Maple Valley,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
